id,nama_laptop,harga,deskripsi,image
1,ASUS ROG Strix G16,28999000,Laptop gaming Intel i7 RAM 16GB RTX 4060 SSD 1TB cocok gaming dan rendering,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=1200&auto=format&fit=crop
2,ASUS TUF Gaming F15,17999000,Laptop gaming Intel i5 RAM 16GB RTX 4050 cocok editing video dan gaming,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6?q=80&w=1200&auto=format&fit=crop
3,ASUS VivoBook 14,8999000,Laptop tipis ringan Ryzen 5 RAM 8GB SSD 512GB cocok mahasiswa dan office,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
4,Acer Nitro V15,15999000,Laptop gaming Ryzen 7 RAM 16GB RTX 4050 cocok desain grafis,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=1200&auto=format&fit=crop
5,Acer Aspire 5,7999000,Laptop murah Intel i5 RAM 8GB SSD 512GB cocok kuliah,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
6,Lenovo LOQ 15,19999000,Laptop gaming Intel i7 RTX 4060 RAM 16GB performa tinggi,https://images.unsplash.com/photo-1588702547923-7093a6c3a3e4?q=80&w=1200&auto=format&fit=crop
7,Lenovo IdeaPad Slim 3,8499000,Laptop ringan Ryzen 5 RAM 8GB cocok office dan mahasiswa,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
8,MSI Katana 15,24999000,Laptop gaming Intel i7 RTX 4070 SSD 1TB cocok rendering,https://images.unsplash.com/photo-1587202372775-e229f172b9d7?q=80&w=1200&auto=format&fit=crop
9,Dell Inspiron 14,9999000,Laptop office Intel i5 RAM 8GB SSD 512GB baterai awet,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
10,HP Victus 16,16999000,Laptop gaming Ryzen 7 RTX 3050 cocok multitasking,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=1200&auto=format&fit=crop
11,Apple MacBook Air M2,18999000,Laptop premium chip M2 RAM 16GB cocok content creation,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
12,Axioo Hype 5,5999000,Laptop murah Intel i3 RAM 8GB cocok pelajar,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
13,ASUS Zenbook 14,21999000,Laptop premium OLED Intel Ultra 7 cocok desain grafis,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
14,Acer Predator Helios,32999000,Laptop gaming RTX 4070 RAM 32GB cocok editing 3D,https://images.unsplash.com/photo-1517430816045-df4b7de11d1d?q=80&w=1200&auto=format&fit=crop
15,Lenovo Legion 5,26999000,Laptop gaming Ryzen 7 RTX 4060 cocok streaming,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
16,MSI Thin GF63,14999000,Laptop gaming tipis Intel i5 RTX 3050 cocok gaming ringan,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
17,Dell XPS 13,25999000,Laptop premium ringan Intel i7 cocok programmer,https://images.unsplash.com/photo-1593642702821-c8da6771f0c6?q=80&w=1200&auto=format&fit=crop
18,HP Pavilion Aero,13999000,Laptop tipis Ryzen 5 RAM 16GB cocok office,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
19,Apple MacBook Pro M3,34999000,Laptop editing video profesional RAM 18GB,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
20,ASUS ExpertBook,11999000,Laptop bisnis Intel i5 baterai tahan lama,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
21,Acer Swift Go,12999000,Laptop tipis OLED Intel i5 cocok mahasiswa,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
22,Lenovo Yoga Slim 7,18999000,Laptop touchscreen Ryzen 7 cocok desain,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?q=80&w=1200&auto=format&fit=crop
23,MSI Cyborg 15,20999000,Laptop gaming RTX 4060 performa tinggi,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
24,Dell Latitude 5440,18999000,Laptop bisnis Intel i7 RAM 16GB,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
25,HP Omen 16,31999000,Laptop gaming RTX 4070 cocok rendering,https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?q=80&w=1200&auto=format&fit=crop
26,ASUS BR1100,4999000,Laptop pelajar Intel Celeron ringan,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
27,Acer Aspire Lite,6499000,Laptop murah Ryzen 3 cocok office,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
28,Lenovo ThinkPad E14,14999000,Laptop kerja Intel i5 keyboard nyaman,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
29,MSI Prestige 14,22999000,Laptop creator Intel i7 desain premium,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
30,Dell G15,18999000,Laptop gaming RTX 3050 cocok editing,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
31,HP Envy x360,19999000,Laptop touchscreen Ryzen 7 cocok desain grafis,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?q=80&w=1200&auto=format&fit=crop
32,ASUS ROG Zephyrus,39999000,Laptop gaming tipis RTX 4080,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=1200&auto=format&fit=crop
33,Acer Chromebook Plus,6999000,Laptop ringan ChromeOS cocok browsing,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?q=80&w=1200&auto=format&fit=crop
34,Lenovo IdeaPad Gaming 3,15999000,Laptop gaming Ryzen 5 RTX 3050,https://images.unsplash.com/photo-1498050108023-c5249f4df085?q=80&w=1200&auto=format&fit=crop
35,MSI Raider GE78,49999000,Laptop gaming high end RTX 4090,https://images.unsplash.com/photo-1587202372775-e229f172b9d7?q=80&w=1200&auto=format&fit=crop
